Prompt,Category
"What is the trend rotational_speed, system_load and tool_wear?","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Calculate the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Find the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Determine the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Show me the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Give me the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Provide the trend rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"What is the average rotational_speed, torque and tool_wear?","multi_parameter_query: rotational_speed, torque, tool_wear"
"Calculate the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Find the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Determine the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Show me the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Give me the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Provide the average rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"What is the maximum rotational_speed, torque and tool_wear?","multi_parameter_query: rotational_speed, torque, tool_wear"
"Calculate the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Find the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Determine the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Show me the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Give me the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Provide the maximum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"What is the minimum rotational_speed, torque and tool_wear?","multi_parameter_query: rotational_speed, torque, tool_wear"
"Calculate the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Find the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Determine the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Show me the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Give me the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Provide the minimum rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"What is the latest rotational_speed, torque and tool_wear?","multi_parameter_query: rotational_speed, torque, tool_wear"
"Calculate the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Find the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Determine the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Show me the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Give me the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Provide the latest rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"What is the trend rotational_speed, torque and tool_wear?","multi_parameter_query: rotational_speed, torque, tool_wear"
"Calculate the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Find the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Determine the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Show me the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Give me the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"Provide the trend rotational_speed, torque and tool_wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
"What is the average system_load, torque and tool_wear?","multi_parameter_query: system_load, torque, tool_wear"
"Calculate the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Find the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Determine the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Show me the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Give me the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Provide the average system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"What is the maximum system_load, torque and tool_wear?","multi_parameter_query: system_load, torque, tool_wear"
"Calculate the maximum system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Find the maximum system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
"Determine the maximum system_load, torque and tool_wear.","multi_parameter_query: system_load, torque, tool_wear"
